id,img_type,k,mse,psnr,original_size,compressed_size,cr,comp_time
a1_8_1,a,8,0.0034467,72.76,85850,45203,0.47,0.27
a1_8_2,a,8,0.0034465,72.76,85850,45204,0.47,0.25
a1_8_3,a,8,0.0034495,72.75,85850,45205,0.47,0.23
a1_16_1,a,16,0.0015148,76.33,85850,46043,0.46,0.34
a1_16_2,a,16,0.0014805,76.43,85850,46070,0.46,0.26
a1_16_3,a,16,0.0015247,76.30,85850,46061,0.46,0.27
a1_32_1,a,32,0.0008038,79.08,85850,45898,0.47,0.44
a1_32_2,a,32,0.0007878,79.17,85850,45843,0.47,0.57
a1_32_3,a,32,0.0007928,79.14,85850,45899,0.47,0.47
a1_64_1,a,64,0.0004507,81.59,85850,45767,0.47,1.83
a1_64_2,a,64,0.0004586,81.52,85850,45814,0.47,1.41
a1_64_3,a,64,0.0004579,81.52,85850,45744,0.47,1.74
a1_96_1,a,96,0.0003340,82.89,85850,45783,0.47,1.94
a1_96_2,a,96,0.0003354,82.88,85850,45799,0.47,1.22
a1_96_3,a,96,0.0003412,82.80,85850,45755,0.47,1.03
a1_128_1,a,128,0.0002755,83.73,85850,45817,0.47,1.58
a1_128_2,a,128,0.0002720,83.78,85850,45787,0.47,1.54
a1_128_3,a,128,0.0002755,83.73,85850,45807,0.47,1.29
a2_8_1,a,8,0.0007874,79.17,41631,14703,0.65,0.25
a2_8_2,a,8,0.0007882,79.16,41631,14709,0.65,0.24
a2_8_3,a,8,0.0007854,79.18,41631,14706,0.65,0.22
a2_16_1,a,16,0.0004282,81.81,41631,14936,0.64,0.30
a2_16_2,a,16,0.0004376,81.72,41631,14833,0.64,0.39
a2_16_3,a,16,0.0004427,81.67,41631,14566,0.65,0.28
a2_32_1,a,32,0.0002138,84.83,41631,14870,0.64,0.43
a2_32_2,a,32,0.0002144,84.82,41631,14890,0.64,0.45
a2_32_3,a,32,0.0002213,84.68,41631,14995,0.64,0.55
a2_64_1,a,64,0.0001171,87.44,41631,14988,0.64,1.85
a2_64_2,a,64,0.0001193,87.36,41631,14907,0.64,1.27
a2_64_3,a,64,0.0001186,87.39,41631,14847,0.64,0.69
a2_96_1,a,96,0.0000868,88.74,41631,14979,0.64,1.48
a2_96_2,a,96,0.0000873,88.72,41631,14955,0.64,1.04
a2_96_3,a,96,0.0000870,88.74,41631,14898,0.64,1.36
a2_128_1,a,128,0.0000711,89.61,41631,14936,0.64,1.26
a2_128_2,a,128,0.0000720,89.56,41631,14948,0.64,1.29
a2_128_3,a,128,0.0000717,89.58,41631,14923,0.64,1.28
a3_8_1,a,8,0.0008377,78.90,71570,20906,0.71,0.24
a3_8_2,a,8,0.0008236,78.97,71570,20736,0.71,0.19
a3_8_3,a,8,0.0008292,78.94,71570,20956,0.71,0.21
a3_16_1,a,16,0.0002209,84.69,71570,20684,0.71,0.24
a3_16_2,a,16,0.0002347,84.43,71570,20449,0.71,0.30
a3_16_3,a,16,0.0002333,84.45,71570,20496,0.71,0.24
a3_32_1,a,32,0.0000576,90.53,71570,20048,0.72,0.43
a3_32_2,a,32,0.0000595,90.39,71570,20018,0.72,0.45
a3_32_3,a,32,0.0000593,90.40,71570,20112,0.72,0.49
a3_64_1,a,64,0.0000147,96.46,71570,19883,0.72,0.81
a3_64_2,a,64,0.0000150,96.38,71570,19939,0.72,0.90
a3_64_3,a,64,0.0000146,96.50,71570,19914,0.72,0.68
a3_96_1,a,96,0.0000067,99.84,71570,19880,0.72,0.64
a3_96_2,a,96,0.0000070,99.66,71570,19889,0.72,0.66
a3_96_3,a,96,0.0000067,99.90,71570,19906,0.72,0.63
a3_128_1,a,128,0.0000036,102.57,71570,19903,0.72,0.77
a3_128_2,a,128,0.0000035,102.71,71570,19902,0.72,0.82
a3_128_3,a,128,0.0000037,102.47,71570,19930,0.72,0.81
b1_8_1,b,8,0.0037847,72.35,120819,37047,0.69,0.30
b1_8_2,b,8,0.0037843,72.35,120819,36923,0.69,0.27
b1_8_3,b,8,0.0037911,72.34,120819,36243,0.70,0.31
b1_16_1,b,16,0.0018672,75.42,120819,37428,0.69,0.65
b1_16_2,b,16,0.0019332,75.27,120819,37005,0.69,0.34
b1_16_3,b,16,0.0019231,75.29,120819,37252,0.69,0.44
b1_32_1,b,32,0.0010225,78.03,120819,37798,0.69,0.86
b1_32_2,b,32,0.0010253,78.02,120819,37534,0.69,0.57
b1_32_3,b,32,0.0010360,77.98,120819,37538,0.69,0.70
b1_64_1,b,64,0.0005806,80.49,120819,37686,0.69,2.17
b1_64_2,b,64,0.0005778,80.51,120819,37603,0.69,2.14
b1_64_3,b,64,0.0005791,80.50,120819,37581,0.69,1.06
b1_96_1,b,96,0.0004178,81.92,120819,37827,0.69,2.05
